id,title,primarycontents,secondarycontents,date,place
edanmdm-siris_arc_387760,"Oral history interview with Patrick Moore, 2017 April 15",Archival materials,Sound recordings,2010s,no place data
edanmdm-siris_arc_211182,"Karl Gruppe papers, 1900-1978",Archival materials,Collection descriptions,1920s,no place data
edanmdm-siris_arc_211299,"Marlis Schratter papers, 1956-1983",Archival materials,Scrapbooks,1920s,no place data
edanmdm-siris_arc_215915,"Merrell Gage papers, 1911-1982",Archival materials,Collection descriptions,1920s,no place data
edanmdm-siris_arc_210944,"Charles Walter Stetson papers, 1879-1974",Archival materials,Sketchbooks,1920s,no place data
edanmdm-siris_arc_209959,"Elizabeth Basye Gilmore Holt papers, 1931-1987",Archival materials,Collection descriptions,1940s,no place data
edanmdm-siris_arc_216021,"Oral history interview with Margret Craver Withers, 1983-1985",Archival materials,Sound recordings,1980s,no place data
edanmdm-siris_arc_218079,"Agency history, 1962-",Archival materials,no data,1960s,no place data
edanmdm-siris_arc_396574,"Unveiling of Model for ""The Federal City: Plans and Realities"" Exhibition at the Smithsonian Institution Building, or Castle",Archival materials,Photographs,1970s,North America
edanmdm-siris_arc_211789,"Irving Block papers, 1938-1986",Archival materials,Collection descriptions,1920s,no place data
edanmdm-siris_arc_389604,"Oral history interview with Rosalyn Drexler, 2017 May 17-June 2",Archival materials,Sound recordings,2010s,no place data
edanmdm-siris_arc_211196,"Charles Webster and Marion Campbell Hawthorne papers, 1870-1983",Archival materials,Collection descriptions,1920s,no place data
edanmdm-siris_arc_215377,"Robert Durant Feild papers, [ca. 1939-1972]",Archival materials,Sketchbooks,1940s,no place data
edanmdm-siris_arc_215688,"Abstract expressionist art movement in America video documentation project, 1991-1992",Video recordings,Archival materials,1990s,no place data
edanmdm-siris_arc_209426,"Vera Klement papers, 1946-2015",Archival materials,Sketchbooks,1920s,no place data
edanmdm-siris_arc_211666,"Clay Spohn papers, circa 1862-1985, bulk, 1890-1985",Archival materials,Sketchbooks,1920s,no place data
edanmdm-siris_arc_278850,"Thread Waxing Space records, 1980s-2001, bulk 1991-2001",Video recordings,Archival materials,2000s,no place data
edanmdm-siris_arc_211205,"Theo Hios papers, 1938-1994",Archival materials,Sketchbooks,1940s,no place data
edanmdm-siris_sil_1145190,Unsustainable empire alternative histories of Hawaiʻi statehood Dean Itsuji Saranillio,E-books,Electronic information resources,1920s,Oceania
edanmdm-siris_sil_1122014,"A companion to digital humanities / edited by Susan Schreibman, Ray Siemens, and John Unsworth",E-books,Llibres electrònics,2000s,no place data
edanmdm-siris_arc_209200,"William E. L. Bunn papers, 1863-2009",Archival materials,Sketchbooks,1920s,no place data
edanmdm-siris_arc_217472,"Robert E. Silberglied Papers, 1960-1982, with related materials to 1984",Clippings (information artifacts),Archival materials,1960s,North America
edanmdm-siris_arc_282112,"Productions, 1985-1998",Video recordings,Archival materials,1990s,no place data
edanmdm-siris_arc_237703,"Oral history interview with Edgar Anderson, 2002 September 17-19",Archival materials,Sound recordings,2000s,no place data
edanmdm-siris_arc_217584,"Thomas J. M. Schopf Papers, circa 1963-1984",Archival materials,Field notes,1960s,no place data
edanmdm-siris_arc_256378,"Program Records, 1993-1997",Archival materials,Audiotapes,1990s,no place data
edanmdm-siris_arc_208629,"Joseph Cornell papers, 1804-1986, bulk 1939-1972",Archival materials,Collection descriptions,1800s,no place data
edanmdm-siris_sil_1135645,A companion to Robert Altman / edited by Adrian Danks,E-books,Treatises,2010s,no place data
edanmdm-siris_arc_210571,"Jean Gabriel Lemoine material relating to Morgan Russell, 1921-1923, 1964",Archival materials,Collection descriptions,1920s,no place data
edanmdm-siris_arc_305134,"Golden Lion Tamarin Conservation Program Records, 1969-2002",Posters,Newsletters,2000s,no place data
edanmdm-siris_arc_209029,"Enid Yandell papers, circa 1890-circa 1901, 1986",Archival materials,Collection descriptions,1920s,no place data
edanmdm-siris_arc_211210,"Theodore Bolton papers, 1917-1958",Archival materials,Collection descriptions,1920s,no place data
edanmdm-siris_arc_282437,"Oral history interview with John Cederquist, 2009 April 14-15",Archival materials,Sound recordings,2000s,no place data
edanmdm-siris_arc_209064,"Ben Shahn papers, 1879-1990, bulk 1933-1970",Video recordings,Archival materials,1920s,no place data
edanmdm-siris_arc_211322,"Louis and Annette Kaufman papers, 1931-2000",Archival materials,Collection descriptions,1940s,no place data
edanmdm-siris_arc_211466,"Vaclav Vytlacil papers, 1885-1990",Archival materials,Sound recordings,1920s,no place data
edanmdm-siris_arc_212114,"Pietro Lazzari papers, 1878-1998",Archival materials,Sketchbooks,1920s,no place data
edanmdm-siris_arc_282435,"Audrey Flack papers, 1950-2009",Video recordings,Archival materials,2000s,no place data
edanmdm-siris_arc_212530,"Oral history interview with Victoria Barr, 1977 January 11-February 18",Archival materials,Sound recordings,1970s,no place data
edanmdm-siris_arc_391020,"Oral history interview with Cheech Marin, 2017 October 16-17",Archival materials,Sound recordings,2010s,no place data
edanmdm-siris_arc_393832,"Oral history interview with Robert Morris, 2018 April 19-20",Archival materials,Sound recordings,2010s,no place data
edanmdm-siris_arc_214389,"Benjamin West selected papers from the Historical Society of Pennsylvania, 1755-1819",Archival materials,Sketchbooks,1800s,no place data
edanmdm-siris_arc_210408,"Alexander Robertson James papers, 1893-1983 bulk 1914-1946",Archival materials,Sketchbooks,1920s,no place data
edanmdm-siris_arc_227882,"Hans Hofmann papers, [circa 1904]-2011, bulk 1945-2000",Video recordings,Archival materials,1920s,no place data
edanmdm-siris_arc_391557,"Productions, 1994-2013",Archival materials,Brochures,2010s,no place data
edanmdm-siris_arc_278666,"Productions, 1984-1991, 1995-1998, 2003",Archival materials,Videotapes,1990s,Oceania
edanmdm-siris_arc_209224,Ralph and Bena Frank Mayer papers [ca. 1920]-1964,Archival materials,Collection descriptions,1920s,no place data
edanmdm-siris_arc_254936,"Oral history interview with Regina Vater, 2004 February 23-25",Archival materials,Sound recordings,2000s,no place data
edanmdm-siris_arc_282217,"Oral history interview with Robert Longo, 2009 January 30-31",Archival materials,Sound recordings,2000s,Europe
edanmdm-siris_arc_216215,"Humberto Dionisio papers, 1919-1990",Archival materials,Collection descriptions,1920s,North America
edanmdm-siris_arc_209579,"Otto Bacher papers, 1873-1938",Archival materials,Collection descriptions,1920s,no place data
edanmdm-siris_arc_216345,"Dahlov Ipcar papers, 1906-1997",Archival materials,Scrapbooks,1920s,no place data
edanmdm-siris_sil_1145371,Propaganda performed kamishibai in Japan's fifteen year war by Sharalyn Orbaugh,E-books,"Criticism, interpretation, etc",1920s,Asia
edanmdm-siris_arc_292731,"Jacques Lipchitz papers and Bruce Bassett papers relating to Jacques Lipchitz, circa 1910-2001, bulk 1941-2001",Video recordings,Archival materials,1920s,no place data
edanmdm-fbr_item_MODSI284,"Utah and California, 1914 : to investigate the nature and origin of duck disease and feeding habits of waterfowl; Includes correspondence, 1914-1915, and expense books",Field notes,Correspondence,1910s,no place data
edanmdm-siris_arc_211378,"Abraham Rattner and Esther Gentle papers, 1891-1986",Archival materials,Collection descriptions,1920s,no place data
edanmdm-siris_arc_362118,"Oral history interview with Barbara Bloom, 2012 October 18-2013 January 31",Archival materials,Sound recordings,2010s,Europe
edanmdm-siris_arc_209173,"Morris Louis and Morris Louis Estate papers, circa 1910s-2007, bulk 1965-2000",Video recordings,Archival materials,1920s,no place data
edanmdm-siris_arc_212717,"Oral history interview with Al Hansen, 1973 November 6-13",Archival materials,Sound recordings,1970s,no place data
edanmdm-siris_arc_210589,"Henry Varnum Poor papers, 1873-2001, bulk 1904-1970",Archival materials,Sketchbooks,1920s,no place data
edanmdm-siris_arc_208923,"Robert Bruce Inverarity papers, circa 1840s-1997",Archival materials,Sketchbooks,1920s,North America
edanmdm-siris_arc_370420,"Oral history interview with Allan Sekula, 2011 August 20-2012 February 14",Archival materials,Sound recordings,1920s,no place data
edanmdm-siris_arc_211459,"Elihu Vedder papers, 1804-1969, bulk 1840-1923",Archival materials,Collection descriptions,1800s,no place data
edanmdm-siris_arc_283555,"Oral history interview with William Morris, 2009 July 13-14",Archival materials,Sound recordings,2000s,Europe
edanmdm-siris_arc_217464,"Frederick Atwood Greeley Papers, 1920-1979",Clippings (information artifacts),Archival materials,1920s,no place data
edanmdm-siris_arc_217733,"Tropical Rainforest Exhibit Oral History Collection 1992, 1994",Archival materials,Audiotapes,1990s,no place data
edanmdm-siris_arc_211670,"Walter Elmer Schofield papers, 1885-1974",Archival materials,Collection descriptions,1920s,no place data
edanmdm-siris_arc_248017,"Oral history interview with Jesse Amado, 2004 May 31-June 7",Archival materials,Sound recordings,2000s,no place data
edanmdm-siris_arc_211354,"Isidore Konti papers, 1879-1956",Archival materials,Sketchbooks,1920s,no place data
edanmdm-siris_arc_370445,"Cosmos Andrew Sarchiapone papers, circa 1860-2011, bulk 1940-2011",Video recordings,Archival materials,1920s,North America
edanmdm-nmah_1296376,Photographic History Collection,Photographic History Collection,photographic history collection,no date data,no place data
edanmdm-siris_arc_213367,"Emmet family papers, 1792-1989, bulk, 1851-1989",Video recordings,Archival materials,1800s,no place data
edanmdm-siris_arc_210466,"Walter and Ise Gropius papers, 1883-1981",Archival materials,Sound recordings,1920s,no place data
edanmdm-siris_arc_212990,"E.P. (Edgar Preston) and Constance Richardson papers, 1814-1996, bulk 1921-1996",Archival materials,Collection descriptions,1920s,North America
edanmdm-siris_arc_216020,"Enrique Riverón papers, 1918-1990s",Archival materials,Scrapbooks,1920s,no place data
edanmdm-siris_arc_215300,"Lewis W. Rubenstein papers, 1923-1993",Caricatures,Archival materials,1920s,no place data
edanmdm-siris_arc_216655,"Records, 1890-1929",Archival materials,Collection descriptions,1920s,no place data
edanmdm-siris_arc_217722,The History of the Cell Sorter Videohistory Collection 1991,Archival materials,Videotapes,1990s,no place data
edanmdm-siris_arc_214742,"Gregory Battcock papers, 1952-circa 1980",Video recordings,Archival materials,1920s,no place data
edanmdm-siris_arc_216351,"Claire Falkenstein papers, circa 1914-1997, bulk 1940-1990",Archival materials,Sketchbooks,1920s,no place data
edanmdm-siris_arc_215872,"John Wilde papers, 1935-2011",Archival materials,Sketchbooks,2010s,no place data
edanmdm-siris_arc_221206,"Downtown Gallery records, 1824-1974, bulk 1926-1969",Video recordings,Archival materials,1920s,no place data
edanmdm-siris_arc_211998,"Robert Laurent papers, 1869-1973",Archival materials,Collection descriptions,1920s,no place data
edanmdm-siris_arc_217388,"Waldo LaSalle Schmitt Papers, 1907-1978",Archival materials,Audiotapes,1920s,no place data
edanmdm-siris_arc_211356,"Michael Loew papers, 1930-1997",Archival materials,Collection descriptions,1920s,no place data
edanmdm-siris_arc_216518,"Karl E. Fortess interviews with artists, circa 1963-1985",Archival materials,Collection descriptions,1960s,no place data
