id,Title,Medium,Dates,Place
edanmdm-siris_arc_396568,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_399101,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_396569,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_396564,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_396454,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_397052,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_396566,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_396562,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_396186,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_399103,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_396649,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_396456,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_396066,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_396654,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_397051,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_397069,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_397070,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_397100,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_399102,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_399105,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_399107,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_397048,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_397050,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_397056,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_396570,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_396431,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_399108,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_397049,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_397065,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_396068,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_399104,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_396655,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_399100,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_396651,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_397053,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_397064,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_396455,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_397046,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_397058,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_397063,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_396187,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_396427,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_397101,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_396650,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_397097,New Hebrides Film Project: Tanna Island 1974,Transparencies,1970s,Oceania
edanmdm-siris_arc_306251,"Red Man and the Red Cedar, part 1 1969",Motion Pictures,1960s,North America
edanmdm-siris_arc_387862,Woodland Indians of Early America 1958,Motion Pictures,1950s,North America
edanmdm-siris_arc_383274,"Website Records, 2015",Sound Recordings,2010s,Unknown+ETC
edanmdm-siris_arc_218468,Zingg's Huichol Footage 1933-1934,Motion Pictures,1930s,North America
edanmdm-siris_arc_307676,"Website Records, 2011",Sound Recordings,2010s,Unknown+ETC
edanmdm-siris_arc_387208,"Website Records, 2016",Sound Recordings,2010s,Unknown+ETC
edanmdm-siris_arc_393076,"Website Records, 2017",Sound Recordings,2010s,Unknown+ETC
edanmdm-siris_arc_368093,"Website Records, 2014",Sound Recordings,2010s,Unknown+ETC
edanmdm-siris_arc_381392,"Website Records, 2015",Sound Recordings,2010s,Unknown+ETC
edanmdm-siris_arc_366136,"Website Records, 2013",Sound Recordings,2010s,Unknown+ETC
edanmdm-siris_arc_208935,"Paul B. Travis papers, 1925-1989",Video Recordings,1920s,Unknown+ETC
